City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Show Low,US,76.66,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
354,Senador Jose Porfirio,BR,75.13,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
358,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
359,Itarema,BR,77.0,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
364,Santa Cruz,BO,78.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
366,Isangel,VU,80.26,overcast clouds,-19.55,169.2667,Tanna Lodge
367,Waingapu,ID,77.4,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
370,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
373,Cockburn Town,TC,77.4,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
377,Carutapera,BR,75.58,scattered clouds,-1.195,-46.02,Lidera
380,Soyo,AO,78.4,overcast clouds,-6.1349,12.3689,Hotel Mpampa
381,Victoria,HK,75.38,light rain,22.2855,114.1577,Mini Hotel Central
383,Kieta,PG,82.69,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
389,Tchollire,CM,75.18,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
391,Tautira,PF,80.17,light rain,-17.7333,-149.15,Pension Oaoa
392,Sakakah,SA,78.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
403,Bagula,IN,80.08,clear sky,23.3167,88.65,Raj Home
405,Puerto Carreno,CO,76.66,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
406,Hattiesburg,US,87.26,clear sky,31.3271,-89.2903,Quality Inn & Suites
407,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
417,Marzuq,YE,75.43,scattered clouds,14.4,46.4667,
419,Dickinson,US,87.15,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
422,Sao Gabriel Da Cachoeira,BR,75.67,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
435,Pochutla,MX,82.22,clear sky,15.7432,-96.4661,Hotel Posada San Jose
441,Sorong,ID,78.6,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
442,Micheweni,TZ,79.74,light rain,-4.9667,39.8333,
450,Iralaya,HN,82.13,few clouds,15.0,-83.2333,Iglesia morava renovada
458,Barranquilla,CO,85.78,broken clouds,10.9639,-74.7964,HOTEL AVANTY
460,Kudahuvadhoo,MV,85.69,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
461,Luxor,EG,82.89,broken clouds,25.6989,32.6421,Iberotel Luxor
469,Dullewala,PK,89.08,clear sky,31.8359,71.4362,Sajid fruit shop
479,Yarada,IN,82.42,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
481,La Reforma,MX,83.64,broken clouds,25.0833,-108.05,Hotel Reforma
483,Garissa,KE,78.94,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
487,Manali,IN,86.09,few clouds,13.1667,80.2667,Sarathy Lodge
488,Mattru,SL,78.24,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
490,Portales,US,76.53,clear sky,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
492,Taoudenni,ML,81.91,clear sky,22.6783,-3.9836,
495,Sanford,US,83.34,few clouds,28.8006,-81.2731,Best Western Plus Sanford Airport/Lake Mary Hotel
499,Lae,PG,78.3,broken clouds,-6.7221,146.9847,Phils Hotel
502,Qeshm,IR,80.49,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
503,Ladario,BR,85.23,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
514,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
515,Carlsbad,US,83.8,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
516,Evansville,US,80.6,light rain,37.9748,-87.5558,Le Merigot Hotel
518,Pa Sang,TH,81.01,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
520,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
527,Korhogo,CI,78.71,broken clouds,9.45,-5.6333,Hôtel Tchinbota
