City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
182,Pisco,-13.7,-76.2167,68.05,clear sky,73,0,19.57,PE
183,Hamilton,39.1834,-84.5333,73.76,scattered clouds,70,40,16.11,US
184,Egvekinot,66.3167,-179.1667,16.32,overcast clouds,78,100,9.73,RU
185,Saldanha,-33.0117,17.9442,58.66,few clouds,88,12,12.21,ZA
186,Melo,-32.3667,-54.1833,57.67,overcast clouds,71,92,4.0,UY
187,Alice Springs,-23.7,133.8833,58.55,overcast clouds,67,100,4.61,AU
188,Tibu,8.639,-72.7358,84.16,overcast clouds,73,100,1.36,CO
189,Zhigansk,66.7697,123.3711,30.69,snow,96,100,28.48,RU
190,Alofi,-19.0595,-169.9187,80.4,light rain,80,93,10.71,NU
191,Glace Bay,46.1969,-59.957,40.05,broken clouds,96,75,9.22,CA
192,Honningsvag,70.9821,25.9704,29.95,light snow,74,75,3.44,NO
193,Pangnirtung,66.1451,-65.7125,26.02,light snow,93,100,4.12,CA
194,Newcastle,-32.9272,151.7765,61.65,overcast clouds,82,100,10.36,AU
195,Diapaga,12.0708,1.7889,92.79,overcast clouds,20,90,4.72,BF
196,Fuengirola,36.54,-4.6247,66.85,clear sky,53,0,3.44,ES
197,Souillac,-20.5167,57.5167,77.38,scattered clouds,83,40,6.91,MU
198,Nakhon Thai,17.1006,100.8374,75.92,overcast clouds,87,100,3.06,TH
199,Noyabrsk,63.1994,75.4507,24.67,clear sky,79,6,15.61,RU
200,Pirai Do Sul,-24.5261,-49.9486,60.24,scattered clouds,98,33,2.84,BR
201,Kerema,-7.9631,145.7785,79.81,broken clouds,77,64,3.36,PG
202,Katsuura,35.1333,140.3,59.16,overcast clouds,72,100,11.61,JP
203,Tonj,7.2737,28.6822,80.46,broken clouds,60,59,6.71,SS
204,Yingcheng,30.95,113.55,52.72,overcast clouds,72,100,7.36,CN
205,Bathsheba,13.2167,-59.5167,81.21,few clouds,78,20,13.8,BB
206,Dolores,-36.3132,-57.6792,47.37,broken clouds,64,53,2.84,AR
207,Sitka,57.0531,-135.33,53.49,scattered clouds,50,40,4.61,US
208,Nabire,-3.3667,135.4833,75.22,broken clouds,92,67,3.65,ID
209,Half Moon Bay,37.4636,-122.4286,74.44,mist,78,100,17.27,US
210,Promissao,-21.5367,-49.8581,73.94,broken clouds,62,66,9.78,BR
211,Rawson,-43.3002,-65.1023,52.12,scattered clouds,58,43,21.12,AR
212,Mangit,40.5971,70.9607,74.62,clear sky,35,0,7.36,UZ
213,Husavik,66.0449,-17.3389,47.93,overcast clouds,66,100,9.28,IS
214,Majene,-3.5403,118.9707,78.08,overcast clouds,86,100,4.18,ID
215,Mount Gambier,-37.8333,140.7667,57.11,overcast clouds,94,100,10.36,AU
216,Krikellos,38.95,21.1833,56.93,scattered clouds,81,30,4.63,GR
217,Chuy,-33.6971,-53.4616,54.05,overcast clouds,73,100,4.72,UY
218,Hurghada,27.2574,33.8129,79.23,clear sky,32,0,24.25,EG
219,Lasa,46.6166,10.7002,43.36,overcast clouds,96,99,3.71,IT
220,Ankazobe,-18.3167,47.1167,60.75,clear sky,88,0,1.59,MG
221,Avera,33.194,-82.5271,82.54,few clouds,42,15,7.99,US
